Date,TimeStart,TimeEnd,Elapsed,Temperature,Weather,Location,Barn.in.out.,Animal,Sex,Treatment,Collard,CollarIssue,RelDay,AdjObTime,pro.SHU,pro.SHD,pro.lay,pro.headshake,pro.walk,pro.FHU,pro.FHD,pro.scratch,pro.social,pro.oov,TotalObs,ModTotObs
11/2/2015,10:57,11:07,10,13,Cloudy,Meade,out,Jena,Female,Vectronic,Yes,No,11,3,0.225,0.15,0,0.075,0.25,0.075,0.125,0,0.1,0,40,40
11/2/2015,10:57,11:07,10,13,Cloudy,Meade,out,Ruby,Female,ATS,Yes,No,11,3,0.275,0,0.075,0.05,0.25,0,0.2,0.1,0.05,0,40,40
11/2/2015,10:57,11:07,10,13,Cloudy,Meade,out,Shadow,Female,ATS,Yes,No,11,3,0.025,0,0,0,0.25,0,0.725,0,0,0,40,40
11/2/2015,11:18,11:28,10,14,Cloudy,Meade,out,Violet,Female,Vectronic,Yes,No,11,3,0.175,0,0,0,0.225,0,0.575,0.025,0,0,40,40
11/2/2015,11:18,11:28,10,14,Cloudy,Meade,out,Bamako,Female,ATS,Yes,No,11,3,0.25,0,0,0,0.15,0.475,0,0.075,0.05,0,40,40
11/2/2015,13:25,13:35,10,17,Cloudy,Rivinus,out,Lewis,Male,Vectronic,No,No,-1,1,0.488888889,0,0,0,0,0,0,0.311111111,0.2,NA,45,45
11/2/2015,13:38,13:48,10,17,Cloudy,Rivinus,out,Tex,Male,Vectronic,No,No,-1,1,0,0,0,0,1,0,0,0,0,0,40,40
11/3/2015,8:18,8:28,10,6,Sunny,Meade,out,Niamey,Female,ATS,Yes,No,1,2,0.3,0,0,0.1,0.075,0,0.525,0,0,0,40,40
11/3/2015,8:18,8:28,10,6,Sunny,Meade,out,Bamako,Female,ATS,Yes,No,12,3,0.1,0,0,0.025,0.125,0,0.75,0,0,0,40,40
11/3/2015,8:32,8:42,10,7,Sunny,Meade,out,Chari,Female,Vectronic,Yes,No,1,2,0,0,0,0,0,0,1,0,0,0,40,40
11/3/2015,8:32,8:42,10,7,Sunny,Meade,out,Scout,Female,ATS,Yes,No,12,3,0.075,0,0,0,0.175,0,0.75,0,0,0,40,40
11/3/2015,8:45,8:55,10,7,Sunny,Meade,out,Violet,Female,Vectronic,Yes,No,12,3,0.075,0,0,0,0.05,0.35,0.45,0.075,0,0,40,40
11/3/2015,8:45,8:55,10,7,Sunny,Meade,out,Jena,Female,Vectronic,Yes,No,12,3,0,0,0,0,0,1,0,0,0,0,40,40
11/3/2015,9:00,9:10,10,8,Sunny,Meade,out,Ruby,Female,ATS,Yes,No,12,3,0.025,0,0,0,0.075,0.9,0,0,0,0,40,40
